Rs (cr),Q4FY24,Q4FY23,YoY Growth,Q3FY24,QoQ Growth,FY24,FY23,YoY Growth
Sales,623,611,1.90%,738,-15.70%,"2,678","2,777",-3.60%
EBITDA,77,80,-3.80%,85,-9.30%,304,356,-14.80%
EBITDA margins,12.40%,13.10%,-70bps,11.50%,90bps,11.30%,12.80%,-150bps
Depreciation,17,16,3.40%,17,-3.00%,64,53,21.40%
EBIT,61,64,-5.70%,68,-10.80%,239,303,-21.10%
Interest,5,3,48.40%,3,52.80%,13,8,68.10%
Other Income,19,17,9.30%,18,3.20%,75,46,65.00%
Exceptional Items,,,0.00%,,0.00%,0,0,0.00%
PBT,75,78,-4.50%,83,-10.10%,301,341,-11.70%
Tax,,,-14.80%,21,-19.80%,76,88,-14.00%
Share of profit from associates,,,NA,,NA,0,,NA
Minority interest,0,0,NA,0,NA,0,,NA
Reported PAT,57,58,-1.00%,62,-6.70%,225,253,-10.80%
Adjustments,0,0,0.00%,0,0.00%,0,0,0.00%
Adj PAT,57,58,-1.00%,62,-6.70%,225,253,-10.80%
No. of Shares,12,12,0.00%,12,0.00%,12,12,0.00%
Adj EPS (Rs),4.1,4.2,-1.00%,4.4,-6.70%,16.3,18.2,-10.80%
